price,location,surface,rooms,heating,furniture,type,elevator,garage,infrastructure,floor,yearOfBuild
130000,Sajmište,63,2.0,centralno grejanje,2,missing,missing,0,terasa,1,2005.0
93700,Bulevar Oslobođenja,52,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,1,1971.0
180000,Stari Grad,71,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,1,1971.0
180000,Petrovaradin,86,4.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,2,1971.0
133900,Bulevar Patrijarha Pavla,55,3.0,grejanje na gas,2,Stan u zgradi,ima lift (1),0,terasa,3,1971.0
75500,Kej,26,1.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,3,1971.0
140000,Bulevar Evrope,79,3.0,grejanje na gas,2,Stan u zgradi,ima lift (1),0,terasa,5,1971.0
174000,Nova Detelinara,72,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,3,1971.0
137000,Liman 3,51,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,7,1971.0
128750,Kej,44,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,2,1971.0
105000,Podbara,39,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,2,2020.0
128800,Nova Detelinara,63,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,3,2012.0
71000,Nova Detelinara,26,1.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,3,2008.0
168700,Nova Detelinara,63,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,1,2014.0
223500,Spens,70,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,6,2001.0
67400,Detelinara,38,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,5,2024.0
72100,Stari Grad,24,1.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,1,2004.0
169000,Stari Grad,72,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,2,2004.0
255750,Sajmište,95,4.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,3,2023.0
105060,Adice,68,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,1,2023.0
103000,Bulevar Patrijarha Pavla,44,2.0,centralno grejanje,1,Stan u zgradi,ima lift (1),0,"prilaz za invalide, dvorište, terasa",3,2010.0
167000,Bulevar Oslobođenja,69,3.0,centralno grejanje,1,Stan u zgradi,ima lift (2),0,"dvorište, terasa",6,1970.0
145000,Petrovaradin,69,3.0,grejanje na gas,0,Stan u zgradi,ima lift (1),0,"dvorište, alarm, terasa",1,1970.0
115000,Sajmište,43,2.0,grejanje na gas,2,Stan u zgradi,ima lift (1),0,terasa,1,2020.0
118900,Liman 4,53,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,"dvorište, terasa",1,2020.0
119000,Grbavica,47,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,2,2020.0
185400,Podbara,70,3.0,centralno grejanje,1,Stan u zgradi,ima lift (1),0,terasa,5,2020.0
92700,Novo Naselje,55,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,1,2020.0
108150,Telep,45,3.0,grejanje na gas,2,Stan u zgradi,ima lift (1),0,terasa,1,2020.0
113300,Adamovićevo Naselje,47,2.0,grejanje na gas,2,Stan u zgradi,ima lift (1),0,terasa,1,2020.0
169950,Adamovićevo Naselje,68,3.0,grejanje na gas,2,Stan u zgradi,ima lift (1),0,terasa,2,2020.0
167890,Rotkvarija,70,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,3,2020.0
97850,Rotkvarija,39,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,1,2020.0
127200,Novo Naselje,65,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,4,2020.0
112700,Adice,78,4.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,1,2020.0
69300,Adice,42,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,1,2020.0
172250,Telep,113,4.0,grejanje na gas,0,Stan u zgradi,ima lift (1),0,terasa,4,2020.0
92700,Bulevar Evrope,51,3.0,grejanje na gas,2,Stan u zgradi,ima lift (1),0,terasa,4,2020.0
140390,Novo Naselje,94,4.0,centralno grejanje,0,Dupleks,ima lift (1),0,terasa,5,2020.0
122460,Novo Naselje,82,3.0,centralno grejanje,0,Dupleks,ima lift (1),0,terasa,5,2020.0
87550,rare_location,38,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,5,2020.0
126855,Adice,91,4.0,podno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,1,2020.0
41200,Sajmište,24,1.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,7,2020.0
73000,Stari Grad,23,1.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,3,2020.0
142660,Tatarsko Brdo,68,4.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,1,2020.0
126690,Grbavica,43,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,1,2020.0
195000,Stari Grad,78,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,1,2000.0
162200,Kej,63,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,3,1975.0
131430,rare_location,44,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,2,1975.0
118450,Železnička stanica,56,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,5,1970.0
123600,Adice,116,4.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,1,2017.0
144200,Liman 4,59,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,9,1986.0
123600,Salajka,60,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,4,1986.0
113000,Nova Detelinara,41,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,5,2022.0
245000,Stari Grad,94,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,3,2005.0
85000,Bulevar Oslobođenja,33,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,12,1966.0
97850,Podbara,54,2.0,grejanje na gas,1,Stan u zgradi,ima lift (1),0,terasa,3,1966.0
154500,Bulevar Oslobođenja,73,4.0,centralno grejanje,1,Stan u zgradi,ima lift (1),0,terasa,7,1977.0
187500,Bulevar Evrope,106,4.0,centralno grejanje,1,Stan u zgradi,ima lift (1),0,terasa,5,1977.0
97850,Telep,42,2.0,centralno grejanje,1,Stan u zgradi,ima lift (1),0,terasa,1,1977.0
412000,Bulevar Oslobođenja,120,4.0,centralno grejanje,1,Stan u zgradi,ima lift (1),0,terasa,4,2012.0
194670,Socijalno,63,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,2,2015.0
185400,Sremska Kamenica,74,3.0,grejanje na gas,2,Stan u zgradi,ima lift (1),1,terasa,2,2020.0
80340,Avijatičarsko Naselje,39,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,5,2024.0
55620,Avijatičarsko Naselje,27,1.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,2024.0
144200,Grbavica,47,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,"prilaz za invalide, dvorište, terasa",1,2010.0
216300,Kej,107,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,"prilaz za invalide, dvorište, terasa",1,2010.0
64700,Futoški put,33,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,"prilaz za invalide, dvorište, terasa",2,2010.0
110000,Nova Detelinara,45,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,"prilaz za invalide, dvorište, terasa",4,2010.0
54500,Novo Naselje,28,1.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,"prilaz za invalide, dvorište, terasa",1,2010.0
92700,Tatarsko Brdo,72,4.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,"terasa, lođa",1,2010.0
61800,Tatarsko Brdo,38,1.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,2010.0
61800,Futoški put,29,2.0,podno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,2,2010.0
126900,Telep,91,4.0,podno grejanje,0,Stan u zgradi,ima lift (1),2,terasa,1,2010.0
89050,Lipov Gaj,51,2.0,podno grejanje,0,Stan u zgradi,ima lift (1),2,terasa,1,2010.0
147600,Bulevar Oslobođenja,47,2.0,centralno grejanje,2,Stan u zgradi,ima lift (2),2,"prilaz za invalide, terasa, recepcija",1,2010.0
207150,Detelinara,96,4.0,centralno grejanje,2,Stan u zgradi,ima lift (1),2,terasa,1,2022.0
105060,Nova Detelinara,43,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),2,terasa,4,2010.0
131840,Bulevar Patrijarha Pavla,55,3.0,grejanje na gas,2,Stan u zgradi,ima lift (1),2,terasa,3,2017.0
185400,Adice,99,7.0,grejanje na gas,2,Stan u zgradi,ima lift (1),2,terasa,2,2020.0
206000,Nova Detelinara,96,4.0,centralno grejanje,2,Stan u zgradi,ima lift (1),2,terasa,3,2000.0
340000,Liman 2,86,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),2,terasa,3,1984.0
99000,Telep,42,2.0,grejanje na gas,2,Stan u zgradi,ima lift (1),2,terasa,3,2022.0
59740,Novo Naselje,35,1.0,centralno grejanje,2,Stan u zgradi,ima lift (1),2,terasa,4,1998.0
84460,Sajmište,33,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),2,terasa,6,2005.0
101970,Stari Grad,42,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),2,terasa,1,2005.0
108080,Podbara,44,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,1,2023.0
270000,Stari Grad,119,4.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,1,1939.0
46000,Petrovaradin,27,1.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,1,1939.0
82500,Bulevar Patrijarha Pavla,36,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,2,2008.0
198800,Stari Grad,76,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,2,1900.0
230000,Bulevar Oslobođenja,96,4.0,centralno grejanje,2,Stan u zgradi,ima lift (2),1,terasa,4,1900.0
200000,Bulevar Oslobođenja,110,4.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,"dvorište, alarm, podrum",5,2020.0
122000,Nova Detelinara,56,3.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,terasa,1,2010.0
110000,Socijalno,50,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,"prilaz za invalide, dvorište, terasa, lođa",9,2010.0
173200,Sajmište,63,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,"dvorište, terasa",1,2020.0
92000,Petrovaradin,89,4.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,"dvorište, terasa",2,2020.0
128750,Telep,77,3.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,2020.0
199000,Stari Grad,76,3.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,2,2020.0
