price,location,surface,rooms,heating,furniture,type,elevator,garage,infrastructure,floor,yearOfBuild,state
130000,Sajmište,63,2.0,centralno grejanje,2,missing,missing,0,terasa,1,2005.0,uobičajeno stanje
93700,Bulevar Oslobođenja,52,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,1,1971.0,uobičajeno stanje
180000,Stari Grad,71,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,1,1971.0,renovirano
180000,Petrovaradin,86,4.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,2,1971.0,novo
133900,Bulevar Patrijarha Pavla,55,3.0,grejanje na gas,2,Stan u zgradi,ima lift (1),0,terasa,3,1971.0,novo
75500,Kej,26,1.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,3,1971.0,renovirano
140000,Bulevar Evrope,79,3.0,grejanje na gas,2,Stan u zgradi,ima lift (1),0,terasa,5,1971.0,uobičajeno stanje
174000,Nova Detelinara,72,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,3,1971.0,novo
137000,Liman 3,51,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,7,1971.0,uobičajeno stanje
128750,Kej,44,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,2,1971.0,novo
105000,Podbara,39,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,2,2020.0,novo
128800,Nova Detelinara,63,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,3,2012.0,novo
71000,Nova Detelinara,26,1.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,3,2008.0,novo
168700,Nova Detelinara,63,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,1,2014.0,novo
223500,Spens,70,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,6,2001.0,novo
67400,Detelinara,38,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,5,2024.0,novo
72100,Stari Grad,24,1.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,1,2004.0,u izgradnji
169000,Stari Grad,72,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,2,2004.0,u izgradnji
255750,Sajmište,95,4.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,3,2023.0,uobičajeno stanje
105060,Adice,68,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,1,2023.0,uobičajeno stanje
103000,Bulevar Patrijarha Pavla,44,2.0,centralno grejanje,1,Stan u zgradi,ima lift (1),0,"prilaz za invalide, dvorište, terasa",3,2010.0,uobičajeno stanje
167000,Bulevar Oslobođenja,69,3.0,centralno grejanje,1,Stan u zgradi,ima lift (2),0,"dvorište, terasa",6,1970.0,uobičajeno stanje
145000,Petrovaradin,69,3.0,grejanje na gas,0,Stan u zgradi,ima lift (1),0,"dvorište, alarm, terasa",1,1970.0,novo
115000,Sajmište,43,2.0,grejanje na gas,2,Stan u zgradi,ima lift (1),0,terasa,1,2020.0,novo
118900,Liman 4,53,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,"dvorište, terasa",1,2020.0,renovirano
119000,Grbavica,47,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,2,2020.0,renovirano
185400,Podbara,70,3.0,centralno grejanje,1,Stan u zgradi,ima lift (1),0,terasa,5,2020.0,renovirano
92700,Novo Naselje,55,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,1,2020.0,renovirano
108150,Telep,45,3.0,grejanje na gas,2,Stan u zgradi,ima lift (1),0,terasa,1,2020.0,renovirano
113300,Adamovićevo Naselje,47,2.0,grejanje na gas,2,Stan u zgradi,ima lift (1),0,terasa,1,2020.0,renovirano
169950,Adamovićevo Naselje,68,3.0,grejanje na gas,2,Stan u zgradi,ima lift (1),0,terasa,2,2020.0,renovirano
167890,Rotkvarija,70,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,3,2020.0,renovirano
97850,Rotkvarija,39,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,1,2020.0,renovirano
127200,Novo Naselje,65,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,4,2020.0,renovirano
112700,Adice,78,4.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,1,2020.0,novo
69300,Adice,42,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,1,2020.0,novo
172250,Telep,113,4.0,grejanje na gas,0,Stan u zgradi,ima lift (1),0,terasa,4,2020.0,novo
92700,Bulevar Evrope,51,3.0,grejanje na gas,2,Stan u zgradi,ima lift (1),0,terasa,4,2020.0,novo
140390,Novo Naselje,94,4.0,centralno grejanje,0,Dupleks,ima lift (1),0,terasa,5,2020.0,novo
122460,Novo Naselje,82,3.0,centralno grejanje,0,Dupleks,ima lift (1),0,terasa,5,2020.0,novo
87550,rare_location,38,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,5,2020.0,renovirano
126855,Adice,91,4.0,podno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,1,2020.0,u izgradnji
41200,Sajmište,24,1.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,7,2020.0,renovirano
73000,Stari Grad,23,1.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,3,2020.0,novo
142660,Tatarsko Brdo,68,4.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,1,2020.0,uobičajeno stanje
126690,Grbavica,43,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,1,2020.0,uobičajeno stanje
195000,Stari Grad,78,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,1,2000.0,uobičajeno stanje
162200,Kej,63,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,3,1975.0,uobičajeno stanje
131430,rare_location,44,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,2,1975.0,u izgradnji
118450,Železnička stanica,56,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,5,1970.0,uobičajeno stanje
123600,Adice,116,4.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,1,2017.0,u izgradnji
144200,Liman 4,59,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,9,1986.0,uobičajeno stanje
123600,Salajka,60,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,4,1986.0,u izgradnji
113000,Nova Detelinara,41,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,5,2022.0,u izgradnji
245000,Stari Grad,94,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,3,2005.0,uobičajeno stanje
85000,Bulevar Oslobođenja,33,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,12,1966.0,uobičajeno stanje
97850,Podbara,54,2.0,grejanje na gas,1,Stan u zgradi,ima lift (1),0,terasa,3,1966.0,uobičajeno stanje
154500,Bulevar Oslobođenja,73,4.0,centralno grejanje,1,Stan u zgradi,ima lift (1),0,terasa,7,1977.0,uobičajeno stanje
187500,Bulevar Evrope,106,4.0,centralno grejanje,1,Stan u zgradi,ima lift (1),0,terasa,5,1977.0,novo
97850,Telep,42,2.0,centralno grejanje,1,Stan u zgradi,ima lift (1),0,terasa,1,1977.0,u izgradnji
412000,Bulevar Oslobođenja,120,4.0,centralno grejanje,1,Stan u zgradi,ima lift (1),0,terasa,4,2012.0,uobičajeno stanje
194670,Socijalno,63,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,2,2015.0,novo
185400,Sremska Kamenica,74,3.0,grejanje na gas,2,Stan u zgradi,ima lift (1),1,terasa,2,2020.0,novo
80340,Avijatičarsko Naselje,39,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,5,2024.0,u izgradnji
55620,Avijatičarsko Naselje,27,1.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,2024.0,u izgradnji
