,price,location,surface,rooms,heating,furniture,type,elevator,garage,infrastructure,floor,yearOfBuild,state
0,130000,Sajmište,63,2.0,centralno grejanje,2,,,0,terasa,1,,uobičajeno stanje
1,93700,Bulevar Oslobođenja,52,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,1,1971.0,uobičajeno stanje
2,180000,Stari Grad,71,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,1,1971.0,renovirano
3,180000,Petrovaradin,86,4.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,2,1971.0,novo
4,133900,Bulevar Patrijarha Pavla,55,3.0,grejanje na gas,2,Stan u zgradi,ima lift (1),0,terasa,3,1971.0,novo
5,75500,Kej,26,1.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,3,1971.0,renovirano
6,140000,Bulevar Evrope,79,3.0,grejanje na gas,2,Stan u zgradi,ima lift (1),0,terasa,5,1971.0,uobičajeno stanje
7,174000,Nova Detelinara,72,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,3,1971.0,novo
8,137000,Liman 3,51,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),0,terasa,7,1971.0,uobičajeno stanje
9,128750,Kej,44,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,2,1971.0,novo
10,105000,Podbara,39,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,2,2020.0,novo
11,128800,Nova Detelinara,63,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,3,2012.0,novo
12,71000,Nova Detelinara,26,1.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,3,2008.0,novo
13,168700,Nova Detelinara,63,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,1,2014.0,novo
14,223500,Spens,70,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,6,2001.0,novo
15,1,Grbavica,91,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,1,2005.0,novo
16,67400,Detelinara,38,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,5,2024.0,novo
17,72100,Stari Grad,24,1.0,centralno grejanje,0,Stan u zgradi,ima lift (1),0,terasa,1,2004.0,u izgradnji
