,cene,adrese,sobe,grejanje,infrastructure,namestenost,opremljenost,povrsina,spratnost,tip
0,92700.0,Petrovaradin,3,grejanje na struju,terasa,prazno,"internet, klima",70 ,1,Stan u zgradi
1,169950.0,Adamovićevo Naselje,3,grejanje na gas,terasa,namešteno,"kablovska, internet, interfon, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj, Kanalizacija",68 ,2,Stan u zgradi
2,204970.0,Veternička Rampa,4,grejanje na gas,"podrum, terasa, Bazen za plivanje",namešteno,"kablovska, internet, interfon, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",107 ,1,Stan u zgradi
3,167890.0,Rotkvarija,2.5,centralno grejanje,terasa,namešteno,"kablovska, internet, interfon, klima, frižider, šporet, ležaj, Kanalizacija",70 ,3,Stan u zgradi
4,158050.0,Petrovaradin,3.5,centralno grejanje,terasa,prazno,"kablovska, internet, interfon, klima, Kanalizacija",93 ,4,Dupleks
5,177200.0,Bulevar Oslobođenja,4,etažno grejanje,terasa,prazno,"kablovska, internet, interfon, klima, Kanalizacija",93 ,2,Dupleks
6,231750.0,Bulevar Oslobođenja,3,etažno grejanje,terasa,prazno,"kablovska, internet, interfon, klima, Kanalizacija",84 ,7,Stan u zgradi
7,68500.0,Nova Detelinara,0.5,centralno grejanje,terasa,prazno,"kablovska, internet, interfon, klima, Kanalizacija",23 ,5,Stan u zgradi
8,195000.0,Bulevar Patrijarha Pavla,3,grejanje na gas,terase (2),polunamešteno,"kablovska, internet, interfon, klima, Kanalizacija",85 ,3,Stan u zgradi
9,395000.0,Adamovićevo Naselje,5,grejanje na gas,terasa,polunamešteno,"kablovska, internet, interfon, klima, Kanalizacija",175 ,1,Stan u zgradi
10,50000.0,Adice,1.5,grejanje na gas,terasa,polunamešteno,"kablovska, internet, interfon, klima, Kanalizacija",37 ,prizemlje,Stan u zgradi
11,54600.0,Novo Naselje,0.5,centralno grejanje,terasa,polunamešteno,"kablovska, internet, interfon, klima, Kanalizacija",22 ,3,Stan u zgradi
12,60500.0,Satelitska Pijaca,2,centralno grejanje,terasa,prazno,"kablovska, internet, interfon, klima, Kanalizacija",48 ,1,Stan u zgradi
13,145000.0,"LIMAN 3, NOVI SAD",3,centralno grejanje,terasa,prazno,"kablovska, internet, interfon, klima, Kanalizacija",83 ,9,Stan u zgradi
14,70000.0,"PODBARA, NOVI SAD",1,centralno grejanje,terasa,prazno,"kablovska, internet, interfon, klima, Kanalizacija",26 ,2,Stan u zgradi
15,41200.0,Centar,0.5,centralno grejanje,terasa,prazno,"kablovska, internet, interfon, klima, Kanalizacija",22 ,suteren,Stan u zgradi
16,66950.0,Novo Naselje,0.5,centralno grejanje,terasa,prazno,"kablovska, internet, interfon, klima, Kanalizacija",23 ,2,Stan u zgradi
17,68650.0,Detelinara,2,centralno grejanje,terasa,prazno,"kablovska, internet, interfon, klima, Kanalizacija",43 ,2,Stan u zgradi
18,123600.0,Liman 3,2,centralno grejanje,terasa,prazno,"kablovska, internet, interfon, klima, Kanalizacija",59 ,6,Stan u zgradi
19,123600.0,Centar,1,centralno grejanje,terasa,prazno,"kablovska, internet, interfon, klima, Kanalizacija",48 ,2,Stan u zgradi
20,301000.0,Socijalno,5,centralno grejanje,terasa,prazno,"kablovska, internet, interfon, klima, Kanalizacija",133 ,4,Stan u zgradi
21,445500.0,Cara Dušana,5,centralno grejanje,terasa,prazno,"kablovska, internet, interfon, klima, Kanalizacija",173 ,1,Stan u zgradi
22,35000.0,Adice,0.5,centralno grejanje,terasa,prazno,"kablovska, internet, interfon, klima, Kanalizacija",17 ,prizemlje,Stan u zgradi
23,220000.0,Grbavica,4,centralno grejanje,terasa,prazno,"kablovska, internet, interfon, klima, Kanalizacija",116 ,5,Stan u zgradi
24,123600.0,Tatarsko Brdo,2.5,centralno grejanje,terasa,prazno,"kablovska, internet, interfon, klima, Kanalizacija",75 ,2,Stan u zgradi
25,128750.0,Nova Detelinara,2.5,centralno grejanje,terasa,prazno,"kablovska, internet, interfon, klima, Kanalizacija",50 ,1,Stan u zgradi
26,219350.0,Centar,4.5,centralno grejanje,terasa,prazno,"kablovska, internet, interfon, klima, Kanalizacija",151 ,3,Stan u zgradi
27,118450.0,Železnička stanica,2.5,centralno grejanje,terasa,prazno,"kablovska, internet, interfon, klima, Kanalizacija",56 ,5,Stan u zgradi
28,71070.0,Detelinara,2,centralno grejanje,terasa,prazno,"kablovska, internet, interfon, klima, Kanalizacija",47 ,visoko,Stan u zgradi
