,cene,adrese,sobe,grejanje,infrastructure,namestenost,opremljenost,povrsina,spratnost,tip
0,92700.0,Petrovaradin,3,grejanje na struju,terasa,3,2,70 ,1,Stan u zgradi
1,169950.0,Adamovićevo Naselje,3,grejanje na gas,terasa,1,12,68 ,2,Stan u zgradi
2,204970.0,Veternička Rampa,4,grejanje na gas,"podrum, terasa, Bazen za plivanje",1,11,107 ,1,Stan u zgradi
3,167890.0,Rotkvarija,2.5,centralno grejanje,terasa,1,9,70 ,3,Stan u zgradi
4,158050.0,Petrovaradin,3.5,centralno grejanje,terasa,3,5,93 ,4,Dupleks
5,177200.0,Bulevar Oslobođenja,4,etažno grejanje,terasa,3,5,93 ,2,Dupleks
6,231750.0,Bulevar Oslobođenja,3,etažno grejanje,terasa,3,5,84 ,7,Stan u zgradi
7,68500.0,Nova Detelinara,0.5,centralno grejanje,terasa,3,5,23 ,5,Stan u zgradi
8,195000.0,Bulevar Patrijarha Pavla,3,grejanje na gas,terase (2),2,5,85 ,3,Stan u zgradi
9,395000.0,Adamovićevo Naselje,5,grejanje na gas,terasa,2,5,175 ,1,Stan u zgradi
10,50000.0,Adice,1.5,grejanje na gas,terasa,2,5,37 ,prizemlje,Stan u zgradi
11,54600.0,Novo Naselje,0.5,centralno grejanje,terasa,2,5,22 ,3,Stan u zgradi
12,60500.0,Satelitska Pijaca,2,centralno grejanje,terasa,3,5,48 ,1,Stan u zgradi
13,145000.0,"LIMAN 3, NOVI SAD",3,centralno grejanje,terasa,3,5,83 ,9,Stan u zgradi
14,70000.0,"PODBARA, NOVI SAD",1,centralno grejanje,terasa,3,5,26 ,2,Stan u zgradi
15,41200.0,Centar,0.5,centralno grejanje,terasa,3,5,22 ,suteren,Stan u zgradi
16,66950.0,Novo Naselje,0.5,centralno grejanje,terasa,3,5,23 ,2,Stan u zgradi
17,68650.0,Detelinara,2,centralno grejanje,terasa,3,5,43 ,2,Stan u zgradi
18,123600.0,Liman 3,2,centralno grejanje,terasa,3,5,59 ,6,Stan u zgradi
19,123600.0,Centar,1,centralno grejanje,terasa,3,5,48 ,2,Stan u zgradi
20,301000.0,Socijalno,5,centralno grejanje,terasa,3,5,133 ,4,Stan u zgradi
21,445500.0,Cara Dušana,5,centralno grejanje,terasa,3,5,173 ,1,Stan u zgradi
22,35000.0,Adice,0.5,centralno grejanje,terasa,3,5,17 ,prizemlje,Stan u zgradi
23,220000.0,Grbavica,4,centralno grejanje,terasa,3,5,116 ,5,Stan u zgradi
24,123600.0,Tatarsko Brdo,2.5,centralno grejanje,terasa,3,5,75 ,2,Stan u zgradi
25,128750.0,Nova Detelinara,2.5,centralno grejanje,terasa,3,5,50 ,1,Stan u zgradi
26,219350.0,Centar,4.5,centralno grejanje,terasa,3,5,151 ,3,Stan u zgradi
27,118450.0,Železnička stanica,2.5,centralno grejanje,terasa,3,5,56 ,5,Stan u zgradi
28,71070.0,Detelinara,2,centralno grejanje,terasa,3,5,47 ,visoko,Stan u zgradi
29,79100.0,Sajmište,1.5,centralno grejanje,terasa,3,5,32 ,2,Stan u zgradi
30,67980.0,Bulevar Evrope,0.5,centralno grejanje,terasa,3,5,26 ,1,Stan u zgradi
31,64900.0,Adice,1.5,centralno grejanje,terasa,3,5,37 ,2,Stan u zgradi
32,63650.0,Zlatiborska,1.5,grejanje na gas,terasa,3,5,30 ,2,Stan u zgradi
33,107070.0,Kej,2,centralno grejanje,terasa,3,5,63 ,5,Stan u zgradi
34,110000.0,Cankareva,2,centralno grejanje,"prilaz za invalide, dvorište, terasa",3,1,45 ,4,Stan u zgradi
35,79000.0,Sajmište,1.5,centralno grejanje,terasa,3,3,32 ,2,Stan u zgradi
36,135000.0,Bulevar Oslobođenja,3,centralno grejanje,terasa,3,3,82 ,2,Stan u zgradi
37,46000.0,Petrovaradin,0.5,centralno grejanje,terasa,3,3,27 ,prizemlje,Stan u zgradi
38,126900.0,Telepska dolina,3.5,podno grejanje,terasa,3,3,91 ,prizemlje,Stan u zgradi
39,89050.0,Lipov Gaj,2,podno grejanje,terasa,3,3,51 ,1,Stan u zgradi
40,398000.0,Spens,4,centralno grejanje,terasa,3,4,112 ,7,Stan u zgradi
41,174000.0,Liman 3,3.5,centralno grejanje,terasa,2,4,80 ,13,Stan u zgradi
42,150000.0,Podbara,2,grejanje na gas,terasa,1,10,49 ,4,Stan u zgradi
43,118000.0,Grbavica,2,centralno grejanje,terasa,3,10,57 ,4,Stan u zgradi
44,270000.0,Centar,3.5,centralno grejanje,terasa,3,10,119 ,1,Stan u zgradi
45,58700.0,Detelinara,2,centralno grejanje,terasa,3,10,47 ,4,Stan u zgradi
46,110000.0,Adamovićevo Naselje,2,grejanje na gas,"dvorište, terasa",2,2,50 ,1,Stan u zgradi
47,103000.0,Cara Dusana,2.5,centralno grejanje,terasa,1,13,69 ,6,Stan u zgradi
48,137000.0,Jiricekova,2.5,centralno grejanje,"prilaz za invalide, podrum, terasa",3,16,62 ,visoko,Stan u zgradi
49,55500.0,Novo Naselje,1,centralno grejanje,"prilaz za invalide, podrum, terasa",3,16,27 ,prizemlje,Stan u zgradi
50,135000.0,Jerneja Kopitara,3,grejanje na gas,"prilaz za invalide, dvorište, terasa",1,14,53 ,visoko,Stan u zgradi
51,69220.0,Adice,1.5,grejanje na gas,terasa,1,14,42 ,2,Stan u zgradi
52,255750.0,Sajmište,4,grejanje na gas,terasa,1,14,95 ,3,Stan u zgradi
53,108560.0,Železnička stanica,2,grejanje na gas,terasa,1,14,62 ,2,Stan u zgradi
54,105060.0,Adice,3,grejanje na gas,terasa,1,14,68 ,prizemlje,Stan u zgradi
55,255750.0,Sajmište,4,grejanje na gas,terasa,1,14,95 ,1,Stan u zgradi
56,220500.0,Telep,4,grejanje na gas,terasa,3,14,105 ,1,Stan u zgradi
57,114990.0,Ilirska,2.5,grejanje na gas,"dvorište, terasa",1,17,60 ,4,Stan u zgradi
58,103000.0,Ilariona Ruvarca 34,2,centralno grejanje,"prilaz za invalide, dvorište, terasa",2,2,44 ,3,Stan u zgradi
59,126000.0,Nova Detelinara,2.5,centralno grejanje,terasa,2,9,56 ,1,Stan u zgradi
60,182500.0,Kosovska 24,3,centralno grejanje,terasa,2,6,70 ,5,Stan u zgradi
61,60000.0,Šarengrad,1.5,grejanje na gas,"dvorište, terasa",1,6,27 ,prizemlje,Stan u zgradi
62,93730.0,Detelinara,1.5,grejanje na gas,terasa,3,6,38 ,1,Stan u zgradi
63,85490.0,Bulevar Patrijarha Pavla,1.5,grejanje na gas,terasa,3,6,35 ,1,Stan u zgradi
64,113300.0,Adamovićevo Naselje,2,grejanje na gas,terasa,1,9,47 ,1,Stan u zgradi
65,123600.0,Telep,2.5,grejanje na gas,terasa,2,5,57 ,1,Stan u zgradi
66,66950.0,Petrovaradin,3,centralno grejanje,terasa,1,9,53 ,5,Stan u zgradi
67,77250.0,Telep,1.5,centralno grejanje,terasa,1,9,33 ,3,Stan u zgradi
68,136680.0,Novo Naselje,3.5,grejanje na gas,terasa,1,9,81 ,1,Stan u zgradi
69,133900.0,Adamovićevo Naselje,2.5,grejanje na gas,terasa,1,3,63 ,1,Stan u zgradi
70,128750.0,Telep,3,grejanje na gas,terasa,3,1,77 ,visoko,Stan u zgradi
71,84460.0,Novo Naselje,1.5,grejanje na gas,terasa,3,1,46 ,3,Stan u zgradi
72,131800.0,Novo Naselje,3,centralno grejanje,terasa,1,8,65 ,4,Stan u zgradi
73,190550.0,Veternička Rampa,4.5,centralno grejanje,terasa,3,4,106 ,2,Stan u zgradi
74,164800.0,Grbavica,1.5,centralno grejanje,terasa,1,12,52 ,1,Stan u zgradi
75,69300.0,Adice,1.5,centralno grejanje,terasa,3,1,42 ,prizemlje,Stan u zgradi
76,74160.0,Novo Naselje,1.5,centralno grejanje,podrum,1,11,32 ,5,Stan u zgradi
77,174500.0,Telep,4,grejanje na gas,terasa,3,4,113 ,4,Stan u zgradi
